bus,x,y
0,0,500
800,140,500
802,240,500
803,340,500
806,440,500
808,540,500
809,540,400
810,540,300
812,640,500
814,740,500
815,880,500
850,980,500
816,1080,500
817,1180,500
818,1080,600
819,1080,700
820,1080,800
821,1080,900
822,1080,1000
824,1280,500
825,1380,500
826,1480,500
827,1280,300
828,1280,0
829,1380,0
830,1480,0
854,1580,0
855,1680,0
856,1780,0
852,1580,100
853,1580,200
832,1580,300
833,1580,400
858,1580,500
863,1580,600
864,1580,700
888,1720,300
890,1820,300
859,1680,500
834,1780,500
842,1780,600
843,1780,700
844,1780,800
845,1780,900
846,1780,1000
847,1780,1100
848,1780,1200
835,1880,500
860,1980,500
861,2080,500
836,2180,500
862,2180,400
865,2180,300
838,2180,200
837,2280,500
840,2380,500
